id_conf,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ,rank_AdG_3KPZ,ECR_1DB1_new,ECR_3KPZ_new
C67898829_4,S(=O)(=O)(C)c1ccc(cc1)-c1nc([nH]c1)[C@H]1N(CCOC1)Cc1cccnc1,-100.391,-18.5718,-13.865752,-11.643229,-26.143034,-26.451778,-102.22714,-113.81008,-5.8129878,-5.9701233,1455,0.00415899,0.002017802
CHEMBL494338_11,O[C@H]1C[C@H](O)C\C(=C\C=C/2\[C@@H]3CC=C([C@]3(CCC\2)C)C2(CC2)CCCC(O)(C)C)\C1=C,-114.452,-17.6277,-13.844599,-13.893839,-37.707733,-34.871441,-103.71658,-97.741982,-10.832928,-9.4612494,24,0.010874737,0.007291116
C13549701_3,Brc1cc(Br)cc(\C=C\2/S\C(\NC/2=O)=N\c2ccccc2Cl)c1O,-74.8602,-15.1724,-13.803517,-13.602632,-22.160797,-19.900139,-88.552437,-98.654121,-6.1334677,-6.6530414,873,0.002566727,0.002606985
C13549701_1,Brc1cc(Br)cc(\C=C\2/S\C(\NC/2=O)=N\c2ccccc2Cl)c1O,-73.4017,-15.1661,-13.803517,-13.602632,-22.160797,-19.900139,-88.552437,-98.654121,-6.1334677,-6.6530414,872,0.002560456,0.002602124
C12401720_1,S\1C=2N(C(N)=C(C#N)[C@H](C=2C#N)c2ccc(cc2)C(C)C)C(=O)/C/1=C/c1ccc(cc1)C(C)C,-92.5486,-15.119,-13.800852,-12.360909,-31.900475,-33.254917,-85.296448,-95.290108,-6.3090835,-5.5519052,1846,0.003697021,0.002964947
C12627508_23,Clc1c(NC(=O)[C@H](Sc2nc3cc(S(=O)(=O)N)ccc3n2CCC)C)cccc1Cl,-99.7491,-15.6239,-13.798814,-10.565858,-21.793966,-20.374884,-78.86615,-82.894905,-0.6171214,2.0120246,4478,0.00240031,4.03E-06
CHEMBL3263871_18,O[C@@H]1CC(C[C@@H](O)C1=C)=C\C=C/1\[C@@H]2CC[C@H]([C@@H](CC#C[C@@H](O)C34CC5CC(C3)CC(C4)C5)C)[C@]2(CCC\1)C,-108.655,-19.932,-13.793478,-13.075472,-40.181408,-38.755951,-82.706711,-102.01734,-6.256042,-3.2655909,3286,0.005905876,0.005409618
C13347807_32,s1cccc1Cc1nnc(SCC(=O)NCc2ccc(cc2)C(=O)[O-])n1CCc1ccccc1,-114.197,-11.3057,-13.777678,-11.870093,-25.98299,-25.716633,-60.892174,-93.236679,2.0435877,-2.410567,3541,0.003864416,0.00036929
C71498430_5,O(CCNC(=O)[C@@H]1CCC[NH+](C1)C1CCN(CC1)C(=O)CCn1cccc1)C,-100.513,-15.4606,-13.745614,-11.908944,-30.144815,-30.252148,-80.499725,-112.19916,-2.775943,-4.7378635,2610,0.002809836,0.002521502
C09508731_47,s1c(-c2ccc(cc2)C)c(nc1-c1ccccc1)CC(=O)NCCc1ccc(S(=O)(=O)N)cc1,-109.551,-16.1083,-13.731955,-10.039584,-24.2966,-22.734503,-84.245338,-80.557419,3.4063349,1.9964725,4475,0.003244577,1.28E-06
C03031561_63,S(=O)(=O)(NCCC=1CCCCC=1)c1cc(C(=O)Nc2ccccc2OCC)c(F)cc1,-96.5423,-18.8508,-13.728981,-12.241139,-29.338657,-28.698309,-96.142235,-114.37775,-3.1294153,-2.1135988,3635,0.00324651,0.002821732
C03663603_1,Clc1cc(Cl)cc(\C=N\c2cc3sc(SCC(=O)Nc4ccc(F)cc4)nc3cc2)c1O,-99.7264,-15.7232,-13.72518,-12.810197,-26.936262,-26.669321,-85.875626,-102.27313,-4.3269076,-4.7348695,2613,0.002432817,0.001820536
C03663603_9,Clc1cc(Cl)cc(\C=N\c2cc3sc(SCC(=O)Nc4ccc(F)cc4)nc3cc2)c1O,-100.127,-15.7242,-13.72518,-12.810197,-26.936262,-26.669321,-85.875626,-102.27313,-4.3269076,-4.7348695,2614,0.002439714,0.001825326
C98046205_48,s1cccc1[C@H]1N2C(S\C(=C\c3cc(OC)c(OC(F)F)cc3)\C2=O)=NC(C)=C1/C(/[O-])=N/c1ccccc1C,-84.8727,-9.57488,-13.715205,-13.958371,-30.004454,-30.640802,-141.48647,-141.13333,-3.8680019,-7.2989688,434,0.005271835,0.006725374
C88762330_21,O([C@H]1CCCCC[C@@H]1O)c1c(cc(cc1C)C#N)C,-77.2128,-16.6481,-13.679248,-9.3033981,-24.846952,-22.294914,-77.967743,-85.432724,-6.3265233,-6.0558352,1356,0.002415064,7.29E-05
CHEMBL2171448_13,FC(F)(F)C(O)(\C=C\C=C(/CC)\c1cc(OCc2cc(CO)c(cc2)CO)ccc1)C(F)(F)F,-125.27,-17.8417,-13.671617,-13.949822,-28.559881,-27.736294,-108.4313,-118.76686,-5.5296206,-10.318846,8,0.007009303,0.00722903
