id,smiles,ECR_1DB1,ECR_3KPZ
VDRML9266,FC(F)C(C(O)COc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OCCCO)cc1)(C(F)F)C,3.04E-06,2.70E-05
VDRML5643,O(CC(O)CO)c1cc(-c2ccc(cc2CCC)C(O)(CC)CC)c(cc1)CC,2.75E-06,9.74E-108
VDRML5861,FC(F)(F)C(O)(C(CCC(CC)c1cc(ccc1)COCc1cc(C)c(OCO)cc1)C)C(F)(F)F,1.76E-05,2.09E-54
VDRML997,O(C(CCC)CO)c1ccc(cc1CO)CCC(CC)c1cc(C)c(OCC(O)C(C)(C)C)cc1,1.46E-05,1.80E-35
VDRML16602,FC(C(O)COc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OC(CO)C)cc1)(C)C,2.04E-06,4.40E-17
VDRML6812,FC(C(F)(O)CCCc1cc(ccc1)C(CC)=CC=Cc1cc(CO)c(cc1)CO)(C)C,1.85E-06,2.57E-18
VDRML23027,OCc1cc(ccc1CO)CCc1cc(ccc1)C(CCCC)=CC=CC(O)(C(CC)C)C,1.67E-06,1.75E-25
VDRML701,FC(F)(F)C(O)(C(O)(CC(CC)c1cc(ccc1)CCc1cc(C)c(OCO)cc1)C)C(F)(F)F,1.61E-06,0.000136995
VDRML431,FC(C(O)(O)C)(C=CC=C(CC)c1cc(OCc2cc(C(C)C)c(cc2)CO)ccc1)C,1.37E-06,4.45E-114
VDRML18333,O(C(CCO)CO)c1ccc(cc1C)CC(C)(C)c1cc(C)c(OCC(O)C(C)C)cc1,1.24E-06,1.41E-19
VDRML5597,FC(O)(CC=CC=C(CC)c1cc(OCc2cc(CO)c(cc2)CC(O)CCO)ccc1)C,1.12E-06,7.86E-25
VDRML9751,FC(F)(F)C(O)(C(O)CCC(CC)c1cc(OCc2cc(C)c(OCO)cc2)c(cc1)C)C(F)(F)F,1.01E-06,0.001499558
