id,smiles,ds_CHEMPLP_1DB1,ds_CHEMPLP_3KPZ,ds_london_1DB1,ds_london_3KPZ,ds_ASE_1DB1,ds_ASE_3KPZ,ds_AHB_1DB1,ds_AHB_3KPZ,ds_AdG_1DB1,ds_AdG_3KPZ
VDRML10009,O(Cc1ccc(cc1C)C(O)(CC)C)c1ccc(cc1C)C(C)c1cc(C)c(OC(CCO)CO)cc1,-122.579,-17.1834,-16.380188,-13.760649,-33.600372,-33.973091,-91.185493,-112.48545,1.7162863,-1.4144258
VDRML5651,O(CC=1C(C)C(O)C=1O)c1cc(-c2ccc(cc2CCC)C(O)(CC)CC)c(cc1)CC,-113.326,-15.5251,-16.37619,-14.932163,-32.180126,-31.567928,-116.66651,-116.62867,-8.8933268,-9.6167822
VDRML22976,FC(C(O)COc1ccc(cc1C)C(CC)(CC)c1cc(C)c(OC(CO)C)cc1)(C(F)F)C,-127.673,-18.5589,-16.372631,-15.294801,-37.763004,-35.4786,-126.1914,-132.47215,-11.523808,-10.118815
VDRML21243,O(C(CCO)CO)c1ccc(OC(CC)(C)c2cc(C)c(OCC(O)c3ccccc3)cc2)cc1C,-126.639,-18.4866,-16.343384,-13.515028,-32.679504,-32.07991,-100.27572,-111.47447,-5.1220088,-2.0845063
VDRML3054,FC(C(O)C(F)C)(C=CC=C(CC)c1cc(ccc1)CCc1cc(CO)c(cc1)CO)C,-133.11,-17.1643,-16.328823,-15.320666,-33.385017,-32.858822,-111.57418,-136.04269,-10.596801,-11.137261
VDRML1370,FC(F)(F)C(O)(C=CC=C(CCO)c1cc(ccc1)CCc1cc(C)c(OCO)cc1)C(F)F,-132.801,-18.5619,-16.328684,-15.016724,-32.558113,-30.633112,-104.92023,-129.1609,-7.5686507,-8.8481522
VDRML17839,FC(F)(F)c1ccc(cc1OCc1cc(CO)c(cc1)CO)C(CCC)=CC=CC(O)C(F)(F)F,-115.583,-17.1609,-16.312025,-15.802852,-31.864571,-31.102011,-109.78498,-122.96752,-11.791568,-11.345459
VDRML5797,FC(OCc1cc(CO)c(cc1)CO)(O)C=CC=C(CC)c1cc(OC)ccc1,-115.487,-17.9401,-16.309029,-13.774937,-30.614666,-30.672367,-119.19849,-119.68977,-8.9131279,-6.6463189
VDRML2611,Oc1cc2C=3C(CC=3)C(CCc2cc1)C1(CCC1C(CCCCCCCCC(O)(C)C)C)C,-124.916,-19.2946,-16.30879,-13.633225,-40.435654,-37.414371,-110.2765,-118.14799,-7.2039523,-6.7802043
VDRML11099,FC(O)(Cc1ccc(cc1CO)COc1cc(ccc1)C(CC)=CCC)CCO,-113.599,-17.8886,-16.30699,-13.860337,-31.22436,-30.026257,-102.56689,-110.82276,-6.4052601,-6.8362732
